Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
645;144811;"International Journal of Construction Education and Research";journal;"15503984";0,354;Q3;16;33;67;1137;76;51;1,25;34,45;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004, 2006-2020";"Building and Construction (Q2); Education (Q3)"
646;21100450131;"Journal of Technology and Science Education";journal;"20145349, 20136374";0,354;Q3;6;38;81;1106;100;76;1,37;29,11;Spain;Western Europe;"";"2014-2019";"Computer Science Applications (Q3); Education (Q3)"
647;21100456197;"Multicultural Education Review";journal;"23770031, 2005615X";0,352;Q3;10;19;57;1020;34;53;0,70;53,68;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2013, 2015-2020";"Anthropology (Q2); Education (Q3)"
648;21100211373;"Formacion Universitaria";journal;"07185006";0,349;Q3;12;69;189;2273;184;180;0,93;32,94;Chile;Latin America;"Centro de Informacion Tecnologica";"2012-2020";"Education (Q3)"
649;19893;"Canadian Modern Language Review";journal;"00084506";0,348;Q3;43;23;71;1075;46;70;0,37;46,74;Canada;Northern America;"University of Toronto Press";"1996-2019";"Linguistics and Language (Q1); Education (Q3)"
650;100147339;"British Journal of Special Education";journal;"14678578, 09523383";0,347;Q3;36;32;97;872;65;74;0,64;27,25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974-2020";"Developmental and Educational Psychology (Q3); Education (Q3)"
651;6200180185;"Infancia y Aprendizaje";journal;"15784126, 02103702";0,347;Q3;22;25;79;1193;69;74;0,80;47,72;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2020";"Developmental and Educational Psychology (Q3); Education (Q3)"
652;19700176214;"International Electronic Journal of Elementary Education";journal;"13079298";0,346;Q3;16;62;160;2761;154;154;0,93;44,53;Turkey;Middle East;"Dumlupinar Universty";"2009-2020";"Education (Q3)"
653;18000156706;"PRIMUS";journal;"19354053, 10511970";0,345;Q3;14;103;193;2016;110;178;0,63;19,57;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2020";"Education (Q3); Mathematics (miscellaneous) (Q3)"
654;21100801727;"Digital Library Perspectives";journal;"20595816";0,344;Q3;21;20;80;677;65;79;0,82;33,85;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2020";"Library and Information Sciences (Q2); Education (Q3); Information Systems (Q3)"
655;7000153220;"Research in Post-Compulsory Education";journal;"13596748, 17475112";0,344;Q3;20;24;94;1132;59;90;0,63;47,17;United Kingdom;Western Europe;"Routledge";"1996-2020";"Education (Q3)"
656;21100467423;"Journal of educational evaluation for health professions";journal;"19755937";0,342;Q3;6;38;119;383;114;114;0,77;10,08;South Korea;Asiatic Region;"Korea Health Personnel Licensing Examination Institute";"2016-2020";"Education (Q3); Health Professions (miscellaneous) (Q3)"
657;21100795654;"Proceedings - 2016 IEEE 13th International Conference on Mobile Ad Hoc and Sensor Systems, MASS 2016";conference and proceedings;"-";0,342;-;8;0;56;0;86;53;1,62;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Education; Media Technology"
658;21100905833;"Beyond Behavior";journal;"21635323, 10742956";0,341;Q3;7;21;63;538;37;55;0,59;25,62;United States;Northern America;"SAGE Publications Inc.";"2012-2020";"Clinical Psychology (Q3); Developmental and Educational Psychology (Q3); Education (Q3)"
